code,lsoa,borough,ACCOMM,EDU,FOOD,PARK,SHOP,TRANSPORT,WORK,ENTERTAIN,ATTRACT,SWI,count,EDU_jnb,FOOD_jnb,SHOP_jnb,TRANSPORT_jnb,WORK_jnb,ENTERTAIN_jnb,ATTRACT_jnb,ACCOMM_jnb,PARK_jnb,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
E01004537,Wandsworth 007B,Wandsworth,0.0,0.0,3.0,0.0,8.0,6.0,16.0,3.0,3.0,32.0,18.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,9.501747000000001e-06,0.00036412997999999997,2.7087782999999994e-06,0.94906783,0.66801596,1.0991852e-05
E01004538,Wandsworth 007C,Wandsworth,0.0,1.0,0.0,0.0,2.0,4.0,3.0,2.0,1.0,18.0,12.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.3944027000000001e-08,3.5807356e-20,4.9350227e-13,1.0,1.3874356e-19,3.148254e-19,2.9066454e-08
E01004539,Wandsworth 003A,Wandsworth,0.0,4.0,2.0,0.0,5.0,0.0,21.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.4517947e-07,2.1696115000000002e-16,1.0681296999999999e-17,0.0,2.5769863999999995e-08,5.860588e-08,1.0,7.0016766e-09
E01004540,Wandsworth 003B,Wandsworth,0.0,2.0,17.0,1.0,24.0,4.0,42.0,6.0,5.0,15.0,11.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,7.84465e-08,1.8563732e-07,4.526112e-09,8.242424999999998e-09,1.4508544e-07,1.1053952e-12,0.0
E01004541,Wandsworth 007D,Wandsworth,0.0,4.0,7.0,0.0,4.0,3.0,4.0,5.0,1.0,7.0,5.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.5487686e-11,5.695435e-06,4.670672000000001e-09,4.0942957e-08,5.052395999999999e-07,1.8934006e-12,0.0
E01004542,Wandsworth 021D,Wandsworth,0.0,0.0,0.0,1.0,2.0,1.0,17.0,3.0,0.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0042296e-07,0.0011897744,3.6412577999999996e-06,0.26784727,7.1243953e-09,1.1329282e-11
E01004543,Wandsworth 027A,Wandsworth,0.0,0.0,15.0,0.0,15.0,3.0,32.0,0.0,2.0,14.0,8.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.00027612035,1.0,3.7447913e-07,1.5508688999999997e-16,5.4211839999999994e-06,1.2954475e-10,0.0,2.2392842000000002e-13
E01004545,Wandsworth 027B,Wandsworth,1.0,7.0,18.0,0.0,16.0,5.0,36.0,5.0,3.0,6.0,6.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,1.7938931e-09,0.0017177108,0.20312433,0.35411227,8.053116e-09,5.2906757e-10
E01004547,Wandsworth 029C,Wandsworth,0.0,4.0,0.0,0.0,1.0,2.0,7.0,0.0,0.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.074014165,1.5159094e-05,4.7965654e-09,5.987069e-07,4.9652493e-07,3.6429829999999995e-13,0.0
E01004548,Wandsworth 029D,Wandsworth,1.0,4.0,19.0,0.0,22.0,7.0,56.0,3.0,2.0,10.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.00076993013,0.1798398,0.0,7.489426e-07,0.3988761,0.017766235,0.068101056,1.0
