SWI,INTERSECT,ACCOMM,EDU,IMD2019Ind,PARK,SHOP,TRANSPORT,WORK,ENTERTAIN,ATTRACT,DENSITY_R,DEN_0_17,DEN_18_64,DEN_65
14.0,20.0,0.0,3.0,5874.0,0.0,6.0,3.0,12.0,1.0,0.0,0.183257366888275,3358.540485651306,6618.129171898674,1036.0835467000563
3.0,20.0,0.0,1.0,6057.0,0.0,1.0,2.0,2.0,2.0,0.0,0.099865226743617,1706.5365595109024,3293.712338866978,716.1646809289609
8.0,18.0,0.0,2.0,6596.0,0.0,0.0,3.0,6.0,1.0,0.0,0.105457472409583,2111.4205723967557,4209.966629108165,596.519226754368
3.0,22.0,0.0,0.0,7738.0,0.0,0.0,0.0,9.0,0.0,0.0,0.155964446324334,2720.153599726639,6148.512870388025,1035.4825340182276
13.0,19.0,0.0,0.0,9100.0,0.0,9.0,2.0,18.0,1.0,0.0,0.168914041196339,3702.8204830769864,7821.825747722956,1199.5914292282469
19.0,15.0,0.0,0.0,6111.0,0.0,1.0,5.0,7.0,1.0,1.0,0.155880316965724,3346.162437752934,6458.093504863163,998.2717939296253
3.0,11.0,0.0,0.0,4315.0,0.0,7.0,4.0,14.0,2.0,0.0,0.147343060975731,2583.2697573399155,5750.0699928606755,1016.2609451464135
11.0,29.0,0.0,0.0,5838.0,0.0,8.0,5.0,14.0,1.0,1.0,0.189501350523435,4059.3033826524556,7620.702432168665,1383.0675920451297
14.0,12.0,0.0,1.0,4822.0,0.0,1.0,1.0,1.0,0.0,0.0,0.157457063093538,3220.0655642465526,6389.817604051753,948.7693180369307
12.0,38.0,1.0,4.0,6122.0,0.0,8.0,7.0,37.0,2.0,0.0,0.101441618345387,1228.4879627367504,2590.2175700219555,498.32375061121985
28.0,93.0,0.0,2.0,8873.0,0.0,3.0,7.0,168.0,1.0,0.0,0.08122996824224,272.6425342388717,543.2273889740538,73.56204225690311
3.0,32.0,0.0,1.0,3669.0,0.0,9.0,7.0,20.0,0.0,0.0,0.126077348213517,3131.258957279957,4805.836879021171,556.847598072982
71.0,161.0,0.0,1.0,6348.0,1.0,68.0,33.0,259.0,2.0,1.0,0.084646603961642,738.2251218136057,1370.1791067267898,92.65632932599047
20.0,32.0,0.0,5.0,2669.0,0.0,21.0,5.0,25.0,2.0,0.0,0.130718899814812,1929.5695036642092,3804.399446940781,413.9679254315059
2.0,44.0,0.0,3.0,8930.0,0.0,2.0,9.0,19.0,1.0,1.0,0.08226420960394,1409.0707726099417,2291.8219658525763,119.92091681786738
76.0,124.0,0.0,2.0,6984.0,3.0,35.0,20.0,249.0,4.0,2.0,0.083609981284353,265.89025463788306,483.9115599956235,55.70205007143868
21.0,47.0,0.0,1.0,3997.0,0.0,15.0,5.0,75.0,2.0,2.0,0.100692836372462,1142.295528608274,1751.8538150732154,158.65215675114916
18.0,21.0,0.0,1.0,4866.0,0.0,1.0,6.0,3.0,2.0,1.0,0.159360119955372,2860.0632279584797,5896.46946804542,1399.7226587696607
10.0,24.0,0.0,0.0,4455.0,1.0,13.0,3.0,27.0,1.0,0.0,0.180625774523727,3252.907536870528,6338.8516780432765,909.6626386292804
