code,lsoa,borough,ACCOMM,EDU,FOOD,PARK,SHOP,TRANSPORT,WORK,ENTERTAIN,ATTRACT,SWI,count,WORKs,EDU_jnb,FOOD_jnb,SHOP_jnb,TRANSPORT_jnb,WORK_jnb,ENTERTAIN_jnb,ATTRACT_jnb,ACCOMM_jnb,PARK_jnb
E01033572,Barnet 030E,Barnet,0.0,3.0,8.0,0.0,11.0,8.0,43.0,6.0,3.0,12.0,10.0,43.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0
E01033573,Barnet 030F,Barnet,0.0,2.0,4.0,0.0,1.0,4.0,23.0,1.0,1.0,3.0,3.0,23.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
E01033574,Newham 034F,Newham,2.0,0.0,4.0,0.0,1.0,2.0,18.0,4.0,0.0,2.0,2.0,18.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
E01033575,Newham 034G,Newham,2.0,1.0,11.0,1.0,3.0,5.0,17.0,0.0,0.0,0.0,0.0,17.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0
E01033576,Newham 034H,Newham,0.0,0.0,1.0,0.0,2.0,15.0,39.0,2.0,0.0,10.0,6.0,39.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0
E01033577,Newham 037E,Newham,0.0,9.0,2.0,0.0,9.0,6.0,138.0,3.0,4.0,11.0,9.0,138.0,4.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0
E01033578,Newham 013E,Newham,1.0,3.0,3.0,0.0,7.0,6.0,27.0,5.0,3.0,12.0,10.0,27.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0
E01033579,Newham 013F,Newham,0.0,1.0,2.0,0.0,3.0,3.0,29.0,2.0,0.0,12.0,8.0,29.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
E01033580,Newham 037F,Newham,0.0,2.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E01033582,Newham 037H,Newham,0.0,0.0,0.0,0.0,1.0,6.0,14.0,3.0,3.0,3.0,1.0,14.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0
E01033583,Newham 013G,Newham,7.0,13.0,96.0,3.0,250.0,43.0,147.0,12.0,8.0,37.0,29.0,147.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0
E01033584,Newham 034I,Newham,0.0,2.0,0.0,0.0,1.0,4.0,0.0,2.0,4.0,5.0,3.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0
E01033585,Newham 034J,Newham,1.0,2.0,4.0,1.0,2.0,11.0,27.0,0.0,7.0,41.0,21.0,27.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0
E01033586,Newham 013H,Newham,0.0,4.0,1.0,0.0,6.0,2.0,50.0,1.0,3.0,8.0,6.0,50.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
E01033587,Barking and Dagenham 021E,Barking and Dagenham,2.0,3.0,2.0,0.0,14.0,2.0,55.0,1.0,6.0,14.0,14.0,55.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0
E01033588,Barking and Dagenham 021F,Barking and Dagenham,0.0,3.0,0.0,0.0,0.0,2.0,11.0,0.0,8.0,1.0,1.0,11.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
