code,lsoa,borough,ACCOMM,EDU,FOOD,PARK,SHOP,TRANSPORT,WORK,ENTERTAIN,ATTRACT,SWI,count,EDU_jnb,FOOD_jnb,SHOP_jnb,TRANSPORT_jnb,WORK_jnb,ENTERTAIN_jnb,ATTRACT_jnb,ACCOMM_jnb,PARK_jnb,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13
E01002291,Havering 023B,Havering,1.0,0.0,8.0,1.0,17.0,4.0,38.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.20988412,0.0,3.8533054e-07,2.7236612999999997e-25,0.34214342,0.04464531,0.13517031,5.6288805e-09,0.20881976,7.079433e-10,0.13307416,1.0,0.02399238
E01002292,Havering 022C,Havering,0.0,2.0,1.0,1.0,1.0,5.0,11.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0.17910601,4.289674e-22,5.156364e-12,0.0,5.748063399999999e-15,8.166873999999999e-09,0.26579368,8.089024999999999e-24,1.8352993999999998e-06,3.381928e-22,1.2250143e-10,1.0,0.34274766
E01002293,Havering 007A,Havering,0.0,2.0,12.0,1.0,44.0,9.0,127.0,2.0,2.0,39.0,31.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,0.33862787,0.31048954,0.13126126,1.4942888999999999e-12,0.20560187,0.19506373,0.13392213,1.0,9.8097054e-08,0.0,3.5036746e-10,0.7778109999999999,2.2686267e-05
E01002294,Havering 007B,Havering,0.0,5.0,1.0,0.0,1.0,11.0,21.0,4.0,2.0,4.0,4.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.3956509e-30,1.1263773e-23,1.2556406499999999e-29,0.0171169,2.7486623e-13,2.1088902999999997e-08,0.034576867000000004,1.9628580000000002e-08,0.048474684000000004,0.31525353,2.0684393e-08
E01002296,Havering 007C,Havering,0.0,1.0,5.0,4.0,15.0,6.0,44.0,2.0,35.0,40.0,24.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,0.09781936,0.54798114,0.31740454,0.0,0.44820178,3.7952266000000005e-06,0.51312643,2.4854403e-11,0.08166852,0.02939281,0.008764548,1.0,0.025985012000000002
E01002298,Havering 007D,Havering,0.0,4.0,0.0,0.0,12.0,5.0,68.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.015248707,4.71e-43,1.4630824e-09,2.9046997000000003e-36,0.033400875,0.001669255,0.015030037,1.4767035e-18,0.0004429282,1.0,0.0,0.057486564000000004,1.1712504e-16
E01002300,Havering 007E,Havering,0.0,1.0,0.0,0.0,3.0,5.0,17.0,0.0,0.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.17910601,4.289674e-22,5.156364e-12,0.0,5.748063399999999e-15,8.166873999999999e-09,0.26579368,8.089024999999999e-24,1.8352993999999998e-06,3.381928e-22,1.2250143e-10,1.0,0.34274766
E01002301,Havering 003A,Havering,0.0,1.0,0.0,0.0,4.0,3.0,11.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,6.019449799999999e-33,0.06844501,0.87617964,0.07651142,1.4508602e-15,1.0,1.7164863999999998e-12,3.3898623999999997e-29,2.2156497000000002e-26,2.4497638e-07,2.4648646000000002e-30,0.0,0.5684127
E01002302,Havering 005A,Havering,0.0,6.0,5.0,0.0,4.0,4.0,21.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.8599259999999997e-08,0.0,1.6113817e-07,0.0,0.00027238185,5.673708699999999e-30,1.0,5.0116712e-05,2.8149636e-19,2.1342287000000002e-37,5.3753515e-06,3.2676395999999997e-28,1.5980378e-08
E01002303,Havering 003B,Havering,0.0,1.0,2.0,0.0,4.0,7.0,15.0,1.0,1.0,10.0,8.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.91095734,9.7637336e-20,1.5924094e-11,0.0,0.00015956226,1.2060432e-17,1.0,0.0005721362000000001,2.6833967e-19,1.1744458999999998e-16,4.12906e-06,1.9299958e-19,0.00018402167
E01002304,Havering 003C,Havering,0.0,6.0,5.0,3.0,6.0,17.0,30.0,8.0,58.0,8.0,8.0,3.0,1.0,1.0,3.0,1.0,3.0,4.0,1.0,2.0,0.25146660000000004,0.0729187,1.0,0.002687852,0.08281248,0.045807943,0.0,0.11916191,0.025234329,0.0019000867999999999,0.058421895,0.17110506,0.0008674461
E01002306,Havering 003D,Havering,0.0,0.0,0.0,0.0,2.0,2.0,11.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.1247804e-05,5.628724e-22,1.578824e-31,7.892217599999999e-25,2.6760000000000004e-42,0.0,1.0,7.038986999999999e-20,0.0062772240000000005,9.133553e-17,0.009505758000000001,7.305256e-39
E01002307,Havering 003E,Havering,0.0,1.0,0.0,0.0,2.0,5.0,18.0,0.0,1.0,5.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.2788954e-18,0.015318181,3.0556128e-17,0.029571567000000003,2.2449864e-30,1.1486378999999999e-17,1.5971601999999997e-27,0.0,7.6047784e-13,1.0,0.0,0.90885496,1.1728914e-17
E01002308,Havering 005C,Havering,0.0,3.0,0.0,0.0,1.0,4.0,13.0,0.0,2.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01002310,Havering 006B,Havering,0.0,1.0,5.0,0.0,15.0,8.0,24.0,1.0,1.0,12.0,10.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7.948598000000001e-13,0.023471735,0.3495792,5.5786867000000004e-14,1.0,8.051789e-07,0.07827878,0.0,0.013335153,2.6023515e-16,3.644463e-12,0.34312659999999995,1.318867e-10
E01002311,Havering 006C,Havering,0.0,2.0,0.0,0.0,6.0,4.0,8.0,5.0,10.0,15.0,7.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.1976454,0.0,2.2842916e-05,2.5835352000000006e-08,0.116360195,0.17886658,0.76657474,3.3410497000000006e-06,0.16487268,5.7558379999999995e-12,0.10441773,1.0,0.11724849999999999
E01002313,Havering 001D,Havering,0.0,0.0,0.0,0.0,1.0,5.0,10.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4.1446005999999997e-07,3.6316575e-14,3.2665012e-12,0.00024492540000000003,0.11142751,0.6974083000000001,0.0013455421,1.1631360000000002e-19,5.544608e-10,1.4455123000000001e-06,0.0,6.407796e-10
E01002315,Havering 006D,Havering,0.0,4.0,1.0,0.0,1.0,8.0,4.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.21444349,0.0,3.5221262e-08,9.5470905e-26,0.7127799,0.047420505,0.046459115999999995,5.368101e-09,0.8203550999999999,2.9948757e-10,0.13276215,1.0,0.0023326506
E01002316,Havering 004F,Havering,0.0,0.0,4.0,0.0,12.0,1.0,41.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
