code,lsoa,borough,ACCOMM,EDU,FOOD,PARK,SHOP,TRANSPORT,WORK,ENTERTAIN,ATTRACT,SWI,count,WORKs,EDU_jnb,FOOD_jnb,SHOP_jnb,TRANSPORT_jnb,WORK_jnb,ENTERTAIN_jnb,ATTRACT_jnb,ACCOMM_jnb,PARK_jnb,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
E01004295,Tower Hamlets 026C,Tower Hamlets,0.0,1.0,0.0,1.0,1.0,1.0,8.0,0.0,2.0,19.0,11.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.82374054,6.965328999999999e-07,0.0,0.011557813,0.0005128165,1.0,5.579736400000001e-06,0.0007875019999999999
E01004296,Tower Hamlets 026D,Tower Hamlets,0.0,1.0,3.0,1.0,6.0,6.0,14.0,2.0,2.0,1.0,1.0,14.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01004297,Tower Hamlets 027C,Tower Hamlets,0.0,3.0,5.0,0.0,9.0,5.0,33.0,1.0,1.0,2.0,2.0,33.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01004298,Tower Hamlets 022A,Tower Hamlets,1.0,2.0,2.0,0.0,6.0,3.0,14.0,1.0,1.0,15.0,11.0,14.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.9856012e-05,4.201785e-05,4.107248e-06,8.803947000000001e-05,0.0,1.1257971000000002e-06,3.432105300000001e-07
E01004300,Tower Hamlets 022B,Tower Hamlets,0.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01004301,Tower Hamlets 025B,Tower Hamlets,0.0,2.0,2.0,0.0,14.0,4.0,5.0,3.0,7.0,5.0,5.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.028758982000000002,0.00012847976,3.4816842000000003e-06,8.946985000000001e-05,0.0,9.668853e-07,5.1058646e-07
E01004302,Tower Hamlets 025C,Tower Hamlets,0.0,1.0,7.0,0.0,18.0,4.0,18.0,1.0,2.0,5.0,5.0,18.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,7.458173999999999e-07,2.327507e-05,5.276888e-06,0.00010350894,0.0,0.1251175,0.0038956309999999997
E01004303,Tower Hamlets 025D,Tower Hamlets,1.0,5.0,3.0,0.0,5.0,7.0,35.0,5.0,8.0,14.0,12.0,35.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.1663165e-07,3.7299742e-08,0.0,0.015820034,0.033983572999999996,1.0,7.202915500000001e-07,0.00073721027
E01004304,Tower Hamlets 022C,Tower Hamlets,0.0,6.0,10.0,0.0,43.0,4.0,32.0,2.0,1.0,12.0,12.0,32.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.9352623e-06,2.990143e-05,4.0332283999999995e-06,8.839190999999998e-05,0.0,1.1090233000000001e-06,2.5097776e-07
E01004305,Tower Hamlets 022D,Tower Hamlets,0.0,3.0,6.0,0.0,3.0,2.0,13.0,1.0,2.0,16.0,10.0,13.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
